"","variable","value","year"
"337","tmi",-18.1752706233472,1991
"338","tmi",-11.8110332717742,1992
"339","tmi",-16.3115396669416,1993
"340","tmi",-22.3221193350865,1994
"341","tmi",-14.9538120971317,1995
"342","tmi",-20.0670497842218,1996
"343","tmi",-17.8818364614504,1997
"344","tmi",-12.1172769314209,1998
"345","tmi",-16.9677938875,1999
"346","tmi",-18.630289348716,2000
"347","tmi",-17.1525085257457,2001
"348","tmi",-11.2793178624674,2002
"349","tmi",-17.5881376350492,2003
"350","tmi",-18.1125821184846,2004
"351","tmi",-16.6936355510985,2005
"352","tmi",-14.8771601114728,2006
"353","tmi",-17.6167820255129,2007
"354","tmi",-17.4604196999978,2008
"355","tmi",-21.3943719869429,2009
"356","tmi",-15.0491349148124,2010
"357","tmi",-17.4718742855501,2011
"358","tmi",-11.8366997388246,2012
"359","tmi",-17.4293151319241,2013
"360","tmi",-21.030774777359,2014
"361","tdf",46.5387193664455,1895
"362","tdf",41.9888050652537,1896
"363","tdf",45.3021631509976,1897
"364","tdf",43.5437596909749,1898
"365","tdf",47.6685832260113,1899
"366","tdf",48.9704327873812,1900
"367","tdf",47.6941081935942,1901
"368","tdf",42.160317002865,1902
"369","tdf",43.0012888037131,1903
"370","tdf",47.629516032531,1904
"371","tdf",46.0028449048249,1905
"372","tdf",43.2422963097256,1906
"373","tdf",45.2093034460386,1907
"374","tdf",41.1924916672372,1908
"375","tdf",42.9742061511989,1909
"376","tdf",47.5907523450126,1910
"377","tdf",45.6965153150977,1911
"378","tdf",52.117829812997,1912
"379","tdf",45.0474097173756,1913
"380","tdf",49.765271446954,1914
"381","tdf",41.3345055871837,1915
"382","tdf",48.7939940524404,1916
"383","tdf",49.4164991006883,1917
"384","tdf",48.6758959406263,1918
"385","tdf",45.8122595678376,1919
"386","tdf",46.5176322646644,1920
"387","tdf",42.2596674437817,1921
"388","tdf",44.9586153365077,1922
"389","tdf",48.3734675792738,1923
"390","tdf",46.5685006972969,1924
"391","tdf",44.4812633199789,1925
"392","tdf",42.568976618457,1926
"393","tdf",43.174519219038,1927
"394","tdf",40.9715849401704,1928
"395","tdf",50.8123655098814,1929
"396","tdf",49.0320550227173,1930
"397","tdf",40.1720701911359,1931
"398","tdf",42.1625297328225,1932
"399","tdf",47.1107047952121,1933
"400","tdf",45.6227174523118,1934
"401","tdf",47.9781600397123,1935
"402","tdf",56.6253183072779,1936
"403","tdf",50.0856603208249,1937
"404","tdf",44.3941741750562,1938
"405","tdf",47.8336973227053,1939
"406","tdf",46.656973066443,1940
"407","tdf",43.2461761414313,1941
"408","tdf",40.6377957614421,1942
"409","tdf",47.5321793073919,1943
"410","tdf",40.5345069681128,1944
"411","tdf",42.2106375072675,1945
"412","tdf",43.2227540664448,1946
"413","tdf",46.0323106530769,1947
"414","tdf",47.3752684542946,1948
"415","tdf",44.6128022905194,1949
"416","tdf",44.7656366374692,1950
"417","tdf",44.2872079505836,1951
"418","tdf",44.0575809428727,1952
"419","tdf",40.6650216748571,1953
"420","tdf",45.4323203724865,1954
"421","tdf",46.1184966900415,1955
"422","tdf",43.2616548452503,1956
"423","tdf",47.8010081111327,1957
"424","tdf",43.5861599684717,1958
"425","tdf",47.1413004487756,1959
"426","tdf",41.500035001743,1960
"427","tdf",44.4069834417504,1961
"428","tdf",44.4929888414925,1962
"429","tdf",48.5167245288786,1963
"430","tdf",44.2672626470658,1964
"431","tdf",44.4787740843044,1965
"432","tdf",50.5512731625029,1966
"433","tdf",45.858431760091,1967
"434","tdf",42.8637396853673,1968
"435","tdf",45.7038804881322,1969
"436","tdf",48.5452204285847,1970
"437","tdf",46.2484389175538,1971
"438","tdf",45.5742824436044,1972
"439","tdf",40.924589112901,1973
"440","tdf",45.7172141873116,1974
"441","tdf",43.1943680262666,1975
"442","tdf",47.7372009365656,1976
"443","tdf",51.1249078628856,1977
"444","tdf",45.8735276095456,1978
"445","tdf",49.0769693126912,1979
"446","tdf",44.224054940373,1980
"447","tdf",42.5670274957824,1981
"448","tdf",50.3831695926331,1982
"449","tdf",48.8468460546271,1983
"450","tdf",45.0370480597521,1984
"451","tdf",45.6265439513804,1985
"452","tdf",41.9093126005957,1986
"453","tdf",40.3621098928457,1987
"454","tdf",48.530211191485,1988
"455","tdf",48.278733928032,1989
"456","tdf",40.1342307885553,1990
"457","tdf",45.1666389965518,1991
"458","tdf",35.192858562059,1992
"459","tdf",41.8168787361147,1993
"460","tdf",47.4634306057003,1994
"461","tdf",41.999017961771,1995
"462","tdf",46.0543351253396,1996
"463","tdf",43.6384627404244,1997
"464","tdf",38.815587362853,1998
"465","tdf",44.8109881743645,1999
"466","tdf",44.2293261847613,2000
"467","tdf",44.3393148295503,2001
"468","tdf",39.7008384243256,2002
"469","tdf",45.1234330790469,2003
"470","tdf",43.0882965812322,2004
"471","tdf",44.2112985188856,2005
"472","tdf",43.9893086373595,2006
"473","tdf",44.7948847846149,2007
"474","tdf",43.6917472197542,2008
"475","tdf",45.2009040276381,2009
"476","tdf",42.0648144244611,2010
"477","tdf",45.7557006665149,2011
"478","tdf",41.4724393667844,2012
"479","tdf",43.6130971863655,2013
"480","tdf",45.8324194441865,2014
